College_Name,Student_Faculty_Ratio,Annual_Fees_INR,Placement_Percentage,Average_Package_LPA,Infrastructure_Score
Mahendra Engineering College - Campus 15,12,134592,77,7.88,6
Nandha Engineering College - Campus 15,11,164668,69,7.99,5
Erode Sengunthar Engineering College - Campus 15,9,139779,48,5.97,5
Dhanalakshmi Srinivasan Engineering College - Campus 15,27,167240,73,4.37,3
IFET College of Engineering - Campus 15,17,138099,92,4.35,8
Velalar College of Engineering and Technology - Campus 15,26,37561,83,10.84,3
SNS College of Technology - Campus 15,8,234866,74,6.42,7
Adhiyamaan College of Engineering - Campus 15,12,112152,91,5.31,7
Indian Institute of Technology Madras - Campus 16,20,155036,97,6.49,4
National Institute of Technology Trichy - Campus 16,11,154049,61,8.69,7
Anna University Chennai - Campus 16,23,56734,83,3.46,4
PSG College of Technology - Campus 16,23,167443,63,6.49,6
Coimbatore Institute of Technology - Campus 16,9,56069,56,7.88,3
Government College of Technology Coimbatore - Campus 16,24,240977,49,11.49,9
SSN College of Engineering - Campus 16,27,42910,69,4.53,6
SRM Institute of Science and Technology - Campus 16,19,103479,95,5.59,7
VIT Vellore - Campus 16,25,238807,98,5.79,6
SASTRA University - Campus 16,10,111264,85,8.06,6
Sri Sairam Engineering College - Campus 16,8,53275,62,5.57,6
Velammal Engineering College - Campus 16,8,102274,71,7.34,7
Rajalakshmi Engineering College - Campus 16,26,242521,56,9.82,9
St Josephs College of Engineering - Campus 16,18,130776,89,9.05,8
Kumaraguru College of Technology - Campus 16,12,221076,90,6.46,6
Thiagarajar College of Engineering - Campus 16,19,224053,56,10.64,4
Bannari Amman Institute of Technology - Campus 16,10,245731,53,7.58,7
Sri Krishna College of Engineering and Technology - Campus 16,8,215625,48,7.4,6
Sona College of Technology - Campus 16,8,78447,79,2.34,9
Karpagam College of Engineering - Campus 16,15,195601,41,11.87,8
Muthayammal Engineering College - Campus 16,17,156394,84,3.23,7
Paavai College of Engineering - Campus 16,18,105703,64,4.31,5
Mahendra Engineering College - Campus 16,19,106090,78,2.52,8
Nandha Engineering College - Campus 16,20,47260,48,8.4,4
Erode Sengunthar Engineering College - Campus 16,19,142581,93,4.25,6
Dhanalakshmi Srinivasan Engineering College - Campus 16,21,33812,61,3.8,9
IFET College of Engineering - Campus 16,9,189096,82,2.89,5
Velalar College of Engineering and Technology - Campus 16,26,219728,85,3.03,9
SNS College of Technology - Campus 16,25,146148,43,7.85,5
Adhiyamaan College of Engineering - Campus 16,10,188357,65,8.88,7
Indian Institute of Technology Madras - Campus 17,24,146421,97,5.97,5
National Institute of Technology Trichy - Campus 17,15,31605,68,6.8,4
Anna University Chennai - Campus 17,17,232230,84,8.86,4
PSG College of Technology - Campus 17,9,102303,73,2.17,3
Coimbatore Institute of Technology - Campus 17,26,188211,62,5.23,4
Government College of Technology Coimbatore - Campus 17,16,238221,76,11.73,8
SSN College of Engineering - Campus 17,14,217210,50,7.8,5
SRM Institute of Science and Technology - Campus 17,11,106125,45,4.54,4
VIT Vellore - Campus 17,28,174990,57,7.22,7
SASTRA University - Campus 17,25,246727,60,5.43,9
Sri Sairam Engineering College - Campus 17,20,188518,81,7.32,9
Velammal Engineering College - Campus 17,18,154040,75,3.26,3
Rajalakshmi Engineering College - Campus 17,11,174118,80,3.33,9
St Josephs College of Engineering - Campus 17,28,185890,77,3.44,5
Kumaraguru College of Technology - Campus 17,11,34324,73,11.4,3
Thiagarajar College of Engineering - Campus 17,17,106323,56,9.33,5
Bannari Amman Institute of Technology - Campus 17,12,39111,76,3.62,7
Sri Krishna College of Engineering and Technology - Campus 17,16,199182,64,3.88,3
Sona College of Technology - Campus 17,10,46389,77,9.31,6
Karpagam College of Engineering - Campus 17,24,152177,97,3.56,8
